Sender ID,Date,Message,Sentiment,Compound_Sentiment,Channel Name,Affiliated Channel
-1001323386230,2025-05-15 23:59:50+00:00,"Leak confirms OpenAI's ChatGPT will integrate MCP
https://ift.tt/ubVwF21","{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}",-0.34,Cyber Threat Intelligence,Initial Config
-1001323386230,2025-05-15 23:19:36+00:00,"ChatGPT will soon record, transcribe, and summarize your meetings
https://ift.tt/q0DK4AU","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Cyber Threat Intelligence,Initial Config
-1001323386230,2025-05-15 23:09:21+00:00,"Andrei Tarasov: Inside the Journey of a Russian Hacker on the FBI’s Most Wanted List
https://ift.tt/4JFK1he","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Cyber Threat Intelligence,Initial Config
-1001323386230,2025-05-15 22:54:32+00:00," FTC wants a new, segregated software system to police deepfake porn 
https://ift.tt/CDTV0f9","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Cyber Threat Intelligence,Initial Config
-1001323386230,2025-05-15 22:44:06+00:00,"Proofpoint to acquire Hornetsecurity for over $1 billion
https://ift.tt/f2HO96j","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Cyber Threat Intelligence,Initial Config
-1001323386230,2025-05-15 21:54:15+00:00,"Nova Scotia Power discloses data breach after March security incident
https://ift.tt/7IWDgGc","{'neg': 0.312, 'neu': 0.562, 'pos': 0.125, 'compound': -0.6124}",-0.6124,Cyber Threat Intelligence,Initial Config
-1001323386230,2025-05-15 21:49:25+00:00,"A Vulnerability in Google Chrome Could Allow for Arbitrary Code Execution
https://ift.tt/zi20jwJ","{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.5994}",0.5994,Cyber Threat Intelligence,Initial Config
-1001323386230,2025-05-15 21:44:32+00:00,"Windows 10 KB5058379 update triggering BitLocker Recovery after install
https://ift.tt/iIVy2jC","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Cyber Threat Intelligence,Initial Config
-1001323386230,2025-05-15 21:29:42+00:00,"Big Steelmaker Halts Operations After Cyber Incident
https://ift.tt/v03A9BK","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Cyber Threat Intelligence,Initial Config
-1001323386230,2025-05-15 20:19:33+00:00,"International Crime Rings Defraud US Gov't Out of Billions
https://ift.tt/6tOruzb","{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.5423}",-0.5423,Cyber Threat Intelligence,Initial Config
